dealname,amount,pipeline,dealstage,contact_email,associated_company_domain
Atendimento - Enzo,728.33,Pipeline de vendas,Negócio fechado,enzo.rocha@uol.com.br,paz.med.br
Atendimento - Sophia,536.13,Pipeline de vendas,Apresentação agendada,sophia.almeida@ig.com.br,fogaça.med.br
Atendimento - Theo,203.25,Pipeline de vendas,Negócio perdido,theo.novaes@uol.com.br,fogaça.med.br
Atendimento - Ana Sophia,656.71,Pipeline de vendas,Compromisso agendado,ana.sophia.campos@ig.com.br,silveira.med.br
Atendimento - Maria,195.18,Pipeline de vendas,Negócio perdido,maria.fogaça@yahoo.com.br,silveira.med.br
Atendimento - Marcelo,290.98,Pipeline de vendas,Contrato enviado,marcelo.barbosa@uol.com.br,fogaça.med.br
Atendimento - Ana Sophia,557.87,Pipeline de vendas,Tomador de decisão envolvido,ana.sophia.monteiro@gmail.com,cunha.med.br
Atendimento - Vinicius,560.2,Pipeline de vendas,Negócio perdido,vinicius.almeida@bol.com.br,neves.med.br
Atendimento - Benjamin,573.9,Pipeline de vendas,Qualificado para comprar,benjamin.carvalho@gmail.com,mendes.med.br
Atendimento - Isabelly,724.53,Pipeline de vendas,Tomador de decisão envolvido,isabelly.moura@yahoo.com.br,neves.med.br
Atendimento - Marcela,265.29,Pipeline de vendas,Apresentação agendada,marcela.rocha@yahoo.com.br,cunha.med.br
Atendimento - Ana Clara,300.43,Pipeline de vendas,Apresentação agendada,ana.clara.moraes@uol.com.br,silveira.med.br
Atendimento - Thales,188.21,Pipeline de vendas,Compromisso agendado,thales.carvalho@gmail.com,lima.med.br
Atendimento - Sophia,456.97,Pipeline de vendas,Negócio perdido,sophia.almeida@ig.com.br,neves.med.br
Atendimento - Felipe,276.33,Pipeline de vendas,Qualificado para comprar,felipe.peixoto@bol.com.br,fogaça.med.br
Atendimento - Luiz Henrique,220.88,Pipeline de vendas,Negócio perdido,luiz.henrique.duarte@uol.com.br,silveira.med.br
Atendimento - Maria Eduarda,162.7,Pipeline de vendas,Tomador de decisão envolvido,maria.eduarda.pires@uol.com.br,paz.med.br
Atendimento - Isadora,760.98,Pipeline de vendas,Apresentação agendada,isadora.dias@uol.com.br,fogaça.med.br
Atendimento - Joana,450.17,Pipeline de vendas,Contrato enviado,joana.araújo@ig.com.br,cavalcanti.med.br
